IdDistrito,Distrito,IdCargo,Cargo,idAgrupacion,Agrupacion,idLista,lista
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,501.0,FRENTE DE TODOS,3.0,ESPACIO FELIPE GALLARDO
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,501.0,FRENTE DE TODOS,6.0,SIGLO 21 JUSTICIALISTA
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,501.0,FRENTE DE TODOS,7.0,SINCERAMENTE PERONISTA
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,501.0,FRENTE DE TODOS,2.0,CHACO LA NUNCA MENOS
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,604.0,UNION SOCIAL LEALTAD POPULAR,1.0,UNION SOCIAL LEALTAD POPULAR
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,609.0,FRENTE POR LA EDUCACIÓN Y EL TRABAJO,1.0,FE
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,618.0,SOCIEDAD ORGANIZADA INDEPENDIENTE,1.0,SOI
6.0,Chaco,3.0,DIPUTADOS NACIONALES,,,,
6.0,Chaco,3.0,DIPUTADOS NACIONALES,71.0,DEL OBRERO,1.0,FRENTE DE IZQUIERDA Y LOS TRABAJADORES
6.0,Chaco,3.0,DIPUTADOS NACIONALES,179.0,CIUDADANOS A GOBERNAR,1.0,CELESTE Y BLANCA
6.0,Chaco,3.0,DIPUTADOS NACIONALES,201.0,FRENTE INTEGRADOR,1.0,INTEGRACIÓN
6.0,Chaco,3.0,DIPUTADOS NACIONALES,156.0,ACCION CHAQUEÑA,1.0,ACCION CHAQUEÑA
6.0,Chaco,3.0,DIPUTADOS NACIONALES,90.0,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,1.0,AMARILLA Y NEGRA
6.0,Chaco,3.0,DIPUTADOS NACIONALES,503.0,CHACO CAMBIA + JUNTOS POR EL CAMBIO,3.0,YO CAMBIO
6.0,Chaco,3.0,DIPUTADOS NACIONALES,503.0,CHACO CAMBIA + JUNTOS POR EL CAMBIO,1.0,JUNTOS POR CHACO + EVOLUCION
6.0,Chaco,3.0,DIPUTADOS NACIONALES,503.0,CHACO CAMBIA + JUNTOS POR EL CAMBIO,2.0,PROPUESTA CHACO
6.0,Chaco,3.0,DIPUTADOS NACIONALES,504.0,VAMOS CON VOS,1.0,A
6.0,Chaco,3.0,DIPUTADOS NACIONALES,501.0,FRENTE DE TODOS,8.0,SOCIALISTAS UNIDOS
6.0,Chaco,3.0,DIPUTADOS NACIONALES,501.0,FRENTE DE TODOS,5.0,FRENTE POLITICO SOCIAL SINDICAL CRISTINA PROYECTO NACIONAL
6.0,Chaco,3.0,DIPUTADOS NACIONALES,501.0,FRENTE DE TODOS,1.0,17 DE OCTUBRE
6.0,Chaco,3.0,DIPUTADOS NACIONALES,501.0,FRENTE DE TODOS,4.0,FRENTE DE AGRUPACIONES PERONISTAS
6.0,Chaco,3.0,DIPUTADOS NACIONALES,501.0,FRENTE DE TODOS,3.0,ESPACIO FELIPE GALLARDO
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,,,,
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,71.0,DEL OBRERO,1.0,FRENTE DE IZQUIERDA Y LOS TRABAJADORES
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,179.0,CIUDADANOS A GOBERNAR,1.0,CELESTE Y BLANCA
11.0,La Pampa,3.0,DIPUTADOS NACIONALES,,,,
11.0,La Pampa,3.0,DIPUTADOS NACIONALES,50.0,SOCIALISTA,1.0,VAMOS CON VOS
11.0,La Pampa,3.0,DIPUTADOS NACIONALES,200.0,MOVIMIENTO AL SOCIALISMO,1.0,PARA RENOVAR A LA IZQUIERDA
11.0,La Pampa,3.0,DIPUTADOS NACIONALES,501.0,FRENTE DE TODOS,1.0,CELESTE Y BLANCA
11.0,La Pampa,3.0,DIPUTADOS NACIONALES,502.0,JUNTOS POR EL CAMBIO,1.0,DEMOCRACIA Y CONSENSO
11.0,La Pampa,3.0,DIPUTADOS NACIONALES,502.0,JUNTOS POR EL CAMBIO,3.0,MOVIMIENTO FEDERALISTA
